Label TC,Pinyin,Translation,Name TC,Name EN,Others TC,Others EN,Region,Category,Kamal Notes,Source URL,Wiki EN,Wiki ZH,LOC URL,Page,x,y,lat,lng,Kamal Angle,geometry.type,type
菜園,láiyuán,vegetable garden,李江船廠的油、麻原料生產田，在造船廠外,oil and hemp for shipbuilding,,,Jiangsu,descriptor,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,108345,2452,,,,Point,Feature
"外國諸番圖
龍江關出水值抵
自寶船厰開船從","Wàiguózhūfāntú
lóngjiāngguānchūshuǐzhídǐ
zìbǎochuánchǎngkāichuáncóng",Map of foreign countries (visited by) the Treasure Fleet Longjiangguan water value The ship was opened from Zibao Shipyard,--,--,,,--,descriptor,,,,,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,108018,1649,,,,Point,Feature
太子州,Dàqiānzhōu,Heir Apparent Island,江心洲,Jiangxin Island,梅子洲、永定洲,,Jiangsu,island,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Jiangxin_Island,https://zh.wikipedia.org/wiki/%E6%B1%9F%E5%BF%83%E6%B4%B2,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,107540,2902,32.033,118.695,,Point,Feature
五屑橋 (瓦屑橋),Wǔxièqiáo,Five Fragments Bridge (Tile Fragments Bridge),儀鳳門?,Dinghuaimen Bridge,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/City_Wall_of_Nanjing,https://zh.wikipedia.org/wiki/%E4%BB%AA%E5%87%A4%E9%97%A8_(%E5%8D%97%E4%BA%AC),https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,107522,731,32.067,118.746,,Point,Feature
寶船廠,Bǎochuánchǎng,Treasure-Ship Shipyard,南京寶船廠遺址公園,Nanjing Treasure Shipyard Relic Site Park,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://zh.wikipedia.org/wiki/%E9%BE%8D%E6%B1%9F%E8%88%B9%E5%BB%A0,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,107475,2327,32.062,118.733,,Point,Feature
石城橋,Shíchéngqiáo,Stone Wall Bridge,漢西門,Hanximen,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://www.muslim2china.com/china-mosques/Nanjing-Hanximen-Mosque-33.html,,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,106937,1284,32.041,118.767,,Point,Feature
龍江關,Longjiangguan,Dragon River Passage,下關,Xiaguan,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Xiaguan_District,https://zh.wikipedia.org/wiki/%E9%BE%8D%E6%B1%9F%E8%88%B9%E5%BB%A0,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,106700,2600,32.074,118.733,,Point,Feature
段腰,Duànyāo,Segment Waist,江心洲東北沙洲,sandbar northeast of Jiangxin,,,Jiangsu,island,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,106676,3300,32.077,118.714,,Point,Feature
抽分廠,Chōufēnchǎng,"""Extract Fraction"" Factory",明初三南京设铂分场再处，一圭瓦屑坝，一在龙江关,Tax Depot,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,106661,1950,32.095,118.741,,Point,Feature
宣課司,Xuānkèsī,Propoganda Department,明代税收机关，谝布全国各地之水喃交通要道，下辖分司、抽分场总。招《图节集成》所载 南京宣课司设在龙江关旁。其址与原图所绘相符。,near Longjiang Road?,,Customs Office?,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,106492,2417,32.096,118.740,,Point,Feature
水西橋,Shuǐxīqiáo,Water West Gate,三山門,Sanshan Gate,水西門,Shuixi Gate,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/City_Wall_of_Nanjing,https://zh.wikipedia.org/wiki/%E6%B0%B4%E8%A5%BF%E9%97%A8_(%E5%8D%97%E4%BA%AC),https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,106467,528,32.032,118.763,,Point,Feature
淨海寺,Jìnghǎisì,Temple of Calm Seas,靜海寺,Jinghai Temple,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Jinghai_Temple,https://zh.wikipedia.org/wiki/%E9%9D%99%E6%B5%B7%E5%AF%BA,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,106265,2170,32.092,118.742,,Point,Feature
天妃宮,Tiānfēigōng,Temple of the Celestial Spouse,天妃宫,Tianfei Temple,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,http://www.gonanjingchina.com/nanjing-china-travel/tag/tianfei-palace,https://zh.wikipedia.org/wiki/%E5%8D%97%E4%BA%AC%E5%A4%A9%E5%A6%83%E5%AE%AB,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,106093,1915,32.092,118.745,,Point,Feature
祭祀壇,jìsìtán,sacraficial altar,明初立国时，在南京外城西北介旧金川门外，建有龙江坛，凡帝王外巡或浇将出 师时，别祀于此 坛，,outside Jinchuan Gate,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://zh.wikipedia.org/wiki/%E5%8D%97%E4%BA%AC%E5%9F%8E%E5%A2%99#%E9%87%91%E5%B7%9D%E9%97%A8,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,106037,2954,32.088,118.758,,Point,Feature
獅子山,Shīzishān,Lion Mountain,獅子山,Shizishan,,,Jiangsu,mountain,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Yuejiang_Tower,https://zh.wikipedia.org/wiki/%E7%8B%AE%E5%AD%90%E5%B1%B1_(%E5%8D%97%E4%BA%AC),https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,106013,2613,32.096,118.741,,Point,Feature
水驛,shuǐyì,maritime post office,水马嫩为自京师通达四方的附传站，洪武年间，在归爹川门外大江边设有龙江水马苦，以重公差人员往来， 专习军博重务传递。原图之水又，戎为龙江水马驿的省称。,,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://www.zdic.net/hant/%E6%B0%B4%E9%A9%9B,https://loc.gov/resource/g7821rm.gct00058/?sp=1,1,105796,3008,,,,Point,Feature
浦子口,Pǔzǐkou,Riverside Mouth,浦口,Pukou,,,Jiangsu,town,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Pukou_District,https://zh.wikipedia.org/wiki/%E6%B5%A6%E5%8F%A3%E5%8C%BA,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,105515,3924,32.055,118.615,,Point,Feature
皇城,Huángchéng,Imperial City,明故宫,Ming Palace,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Ming_Palace,https://zh.wikipedia.org/wiki/%E6%98%8E%E6%95%85%E5%AE%AB,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,105513,1863,32.043,118.813,,Point,Feature
中和橋,Zhōnghéqiáo,Center Sum Bridge,中和橋,Zhonghe Bridge,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://zh.wikipedia.org/wiki/%E5%85%89%E5%8D%8E%E9%97%A8,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,105380,195,32.021,118.811,,Point,Feature
復城橋,Fùchéngqiáo,Reply City Bridge,"明初南京有两复城桥，一在贼内大中桥北, 其二称小旧城桥在万江关外。图中所给为小复城桥，为宝船厂附近稳船湖通江的三桥〔复城、通江,临山)之一，桥已济没。今地名仍称复城桥。",,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,105086,2975,,,,Point,Feature
天地壇,Tiāndìtán,Altar of Heaven and Earth,光華門,outside Guanghuamen,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://baike.baidu.com/item/%E5%A4%A9%E5%9D%9B/19964669,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,105049,1000,32.058,118.832,,Point,Feature
鐘山,Zhōngshān,Bell Mountain,紫金山,Purple Mountain,,,Jiangsu,mountain,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Purple_Mountain_(Nanjing),https://zh.wikipedia.org/wiki/%E7%B4%AB%E9%87%91%E5%B1%B1,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,104948,1401,32.071,118.834,,Point,Feature
石灰山,Shíhuīshān,Lime Mountain,幕府山,Mufushan,,,Jiangsu,mountain,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://baike.baidu.com/item/%E5%B9%95%E5%BA%9C%E5%B1%B1,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,104693,2370,32.126,118.792,,Point,Feature
通江橋,Tōngjiāngqiáo,Through River Bridge,通江桥在卓金上昨门外，江水经此桥下引入宝般厂稳船湖，此桥为通江的最外一桥，今稳船湖六已湾没，疾已无存。,"outside the gate of Zhuojinshang, wher Baobanchang Shipbuilding Lake once was",,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,104652,3020,32.197,118.865,,Point,Feature
方山,Fāngshān,Square Mountain,方山,Fangshan,,,Jiangsu,mountain,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://land8.com/one-of-the-top-geoparks-in-the-world-fangshan-tangshan-national-geopark-museum/,https://baike.baidu.com/item/%E6%96%B9%E5%B1%B1%E5%9B%BD%E5%AE%B6%E5%9C%B0%E8%B4%A8%E5%85%AC%E5%9B%AD,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,104236,328,31.903,118.883,,Point,Feature
